baitID	preyID	N
53559	53616	2
53559	53617	1
53559	53619	1
53559	53620	3
53559	53621	4
53559	53622	2
53559	53623	3
53559	53624	1
53559	53626	3
53559	53627	4
53559	53628	2
53559	53629	4
53559	53630	3
53559	53631	4
53559	53632	5
53559	53633	4
53559	53634	1
53559	53635	2
53559	53636	4
53559	53637	2
53559	53638	3
53559	53639	1
53559	53640	1
53559	53641	2
53559	53642	1
53559	53643	1
53559	53645	3
53559	53646	1
53559	53647	2
53559	53648	2
53559	53650	1
53559	53651	1
53559	53652	1
53559	53653	2
53559	53655	1
53559	53657	2
53559	53658	2
53559	53659	1
53559	53661	2
53559	53662	2
53559	53663	1
53559	53664	1
53559	53665	2
53559	53666	1
53559	53667	1
53559	53668	1
53559	53669	1
53559	53670	1
53559	53671	2
53559	53672	1
53559	53673	3
53559	53675	4
53559	53676	2
53559	53677	2
53559	53678	1
53559	53679	1
53559	53680	1
53559	53681	1
53559	53682	1
53559	53683	1
53559	53685	2
53559	53686	1
53559	53687	2
53559	53688	1
53559	53689	2
53559	53691	1
53559	53692	1
53559	53693	1
53559	53695	2
53559	53696	1
53559	53697	2
53559	53698	1
53559	53699	1
53559	53701	1
53559	53702	2
53559	53703	1
53559	53705	1
53559	53707	1
53559	53708	1
53559	53709	1
53559	53710	1
53559	53712	1
53559	53713	1
53559	53714	1
53559	53717	2
53559	53719	1
53559	53720	1
53559	53722	1
53559	53723	1
53559	53724	1
53559	53725	1
53559	53727	1
53559	53728	1
53559	53730	1
53559	53732	1
53559	53734	2
53559	53735	1
53559	53736	1
53559	53738	1
53559	53739	1
53559	53742	1
53559	53743	1
53559	53744	1
53559	53745	1
53559	53746	1
53559	53747	1
53559	53748	1
53559	53749	1
53559	53753	1
53559	53754	1
53559	53756	1
53559	53757	1
53559	53758	1
53559	53760	2
53559	53761	1
53559	53762	1
53559	53763	1
53559	53764	1
53559	53767	1
53559	53768	2
53559	53769	1
53559	53770	2
53559	53771	1
53559	53772	1
53559	53773	1
53559	53776	1
53559	53777	1
53559	53778	1
53559	53779	1
53559	53782	1
